entidad,municipio,nEgresos,anho
1,1,6448,2014
1,3,332,2014
1,6,741,2014
1,7,712,2014
2,1,3247,2014
2,2,3649,2014
2,3,815,2014
2,4,5948,2014
2,5,667,2014
3,1,498,2014
3,2,460,2014
3,3,1362,2014
3,8,1570,2014
3,9,6,2014
4,1,120,2014
4,2,2667,2014
4,3,1747,2014
4,4,289,2014
4,5,150,2014
4,6,155,2014
4,7,15,2014
4,9,519,2014
4,10,89,2014
4,11,147,2014
5,2,1337,2014
5,3,362,2014
5,7,118,2014
5,9,546,2014
5,11,3,2014
5,17,947,2014
5,18,2420,2014
5,20,722,2014
5,24,425,2014
5,25,1899,2014
5,27,643,2014
5,28,339,2014
5,30,5120,2014
5,31,339,2014
5,32,535,2014
5,33,507,2014
5,35,3807,2014
6,2,1705,2014
6,7,1064,2014
6,9,1135,2014
7,2,196,2014
7,4,389,2014
7,8,155,2014
7,9,320,2014
7,13,923,2014
7,17,355,2014
7,19,2849,2014
7,22,50,2014
7,23,151,2014
7,34,509,2014
7,40,1209,2014
7,49,57,2014
7,51,671,2014
7,52,584,2014
7,57,927,2014
7,59,1352,2014
7,61,874,2014
7,65,1243,2014
7,68,794,2014
7,69,203,2014
7,70,22,2014
7,78,2210,2014
7,89,3323,2014
7,94,96,2014
7,96,218,2014
7,97,639,2014
7,101,4101,2014
7,106,725,2014
7,107,66,2014
7,108,1185,2014
7,109,615,2014
7,114,458,2014
8,3,205,2014
8,9,524,2014
8,11,418,2014
8,17,1750,2014
8,19,4091,2014
8,21,1241,2014
8,25,222,2014
8,27,562,2014
8,29,287,2014
8,32,1158,2014
8,36,369,2014
8,37,4275,2014
8,50,912,2014
8,52,138,2014
9,2,1420,2014
9,3,382,2014
9,5,5340,2014
9,6,1172,2014
9,7,4866,2014
9,8,1111,2014
9,9,957,2014
9,10,3829,2014
9,11,2045,2014
9,12,3402,2014
9,13,1106,2014
9,14,1103,2014
9,15,2074,2014
9,16,3694,2014
9,17,1717,2014
10,1,36,2014
10,4,105,2014
10,5,4511,2014
10,7,2952,2014
10,8,322,2014
10,12,1003,2014
10,14,93,2014
10,15,2,2014
10,17,3,2014
10,18,36,2014
10,20,1,2014
10,22,10,2014
10,23,197,2014
10,24,142,2014
10,28,4,2014
10,32,419,2014
10,33,13,2014
10,34,38,2014
10,38,250,2014
10,39,10,2014
11,1,421,2014
11,2,811,2014
11,3,984,2014
11,4,202,2014
11,5,275,2014
11,7,2419,2014
11,8,115,2014
11,9,396,2014
11,11,322,2014
11,14,867,2014
11,15,1032,2014
11,16,64,2014
11,17,2841,2014
11,18,208,2014
11,19,154,2014
11,20,9748,2014
11,21,284,2014
11,23,724,2014
11,25,333,2014
11,26,248,2014
11,27,1284,2014
11,29,112,2014
11,30,273,2014
11,31,551,2014
11,32,552,2014
11,33,904,2014
11,35,312,2014
11,37,1408,2014
11,39,78,2014
11,41,370,2014
11,42,653,2014
11,44,256,2014
11,46,220,2014
12,1,4645,2014
12,7,176,2014
12,11,402,2014
12,12,701,2014
12,22,899,2014
12,28,1156,2014
12,29,2719,2014
12,32,205,2014
12,34,497,2014
12,35,1470,2014
12,38,802,2014
12,40,49,2014
12,46,1130,2014
12,50,88,2014
12,51,170,2014
12,55,757,2014
12,61,43,2014
12,66,1763,2014
12,68,151,2014
12,75,108,2014
13,3,423,2014
13,8,437,2014
13,11,62,2014
13,16,1,2014
13,27,28,2014
13,28,1502,2014
13,29,459,2014
13,30,1416,2014
13,31,154,2014
13,35,518,2014
13,41,362,2014
13,48,3605,2014
13,53,160,2014
13,61,175,2014
13,63,187,2014
13,69,131,2014
13,73,342,2014
13,76,1423,2014
13,77,1516,2014
13,81,578,2014
14,6,383,2014
14,13,163,2014
14,15,797,2014
14,18,1228,2014
14,21,8,2014
14,22,73,2014
14,23,1412,2014
14,24,675,2014
14,25,182,2014
14,35,95,2014
14,37,120,2014
14,39,15638,2014
14,42,113,2014
14,43,79,2014
14,53,1078,2014
14,55,492,2014
14,58,60,2014
14,63,948,2014
14,64,139,2014
14,65,1,2014
14,67,2119,2014
14,73,349,2014
14,78,183,2014
14,82,515,2014
14,83,807,2014
14,85,198,2014
14,87,1,2014
14,91,82,2014
14,93,1165,2014
14,94,1,2014
14,97,887,2014
14,100,95,2014
14,114,9,2014
14,118,302,2014
14,120,2775,2014
14,121,2,2014
14,124,505,2014
15,1,276,2014
15,2,339,2014
15,7,86,2014
15,9,877,2014
15,12,221,2014
15,13,3315,2014
15,14,886,2014
15,16,148,2014
15,20,586,2014
15,21,298,2014
15,24,2286,2014
15,25,2964,2014
15,31,2867,2014
15,33,6807,2014
15,35,706,2014
15,36,332,2014
15,37,279,2014
15,39,1959,2014
15,40,675,2014
15,42,760,2014
15,43,277,2014
15,45,689,2014
15,47,243,2014
15,52,307,2014
15,54,444,2014
15,57,2424,2014
15,58,3649,2014
15,60,205,2014
15,64,121,2014
15,65,274,2014
15,67,210,2014
15,70,2614,2014
15,74,701,2014
15,80,91,2014
15,81,907,2014
15,82,898,2014
15,86,135,2014
15,87,323,2014
15,88,830,2014
15,90,452,2014
15,94,344,2014
15,97,257,2014
15,99,2429,2014
15,104,3658,2014
15,105,195,2014
15,106,6293,2014
15,109,1125,2014
15,110,624,2014
15,112,139,2014
15,113,208,2014
15,114,435,2014
15,115,385,2014
15,117,59,2014
15,120,377,2014
15,121,3,2014
15,122,1476,2014
15,123,176,2014
15,124,812,2014
16,6,949,2014
16,8,4,2014
16,9,183,2014
16,10,41,2014
16,12,172,2014
16,14,20,2014
16,15,59,2014
16,22,721,2014
16,24,314,2014
16,34,305,2014
16,35,49,2014
16,38,207,2014
16,50,665,2014
16,52,1254,2014
16,53,4314,2014
16,55,162,2014
16,57,155,2014
16,65,196,2014
16,66,799,2014
16,69,1127,2014
16,71,286,2014
16,75,586,2014
16,76,577,2014
16,82,533,2014
16,87,4,2014
16,97,2,2014
16,98,146,2014
16,99,10,2014
16,102,2375,2014
16,104,82,2014
16,107,171,2014
16,108,2342,2014
16,112,541,2014
17,3,469,2014
17,6,1846,2014
17,7,2968,2014
17,8,70,2014
17,12,1223,2014
17,13,35,2014
17,16,130,2014
17,17,205,2014
17,18,1008,2014
17,21,315,2014
17,29,1415,2014
17,31,207,2014
18,1,96,2014
18,4,94,2014
18,6,238,2014
18,9,262,2014
18,10,272,2014
18,15,937,2014
18,16,91,2014
18,17,3327,2014
18,18,27,2014
18,19,19,2014
18,20,424,2014
19,6,777,2014
19,9,9,2014
19,11,196,2014
19,14,343,2014
19,17,192,2014
19,26,6482,2014
19,33,461,2014
19,38,665,2014
19,39,2772,2014
19,44,382,2014
19,46,4146,2014
20,6,249,2014
20,14,63,2014
20,21,21,2014
20,26,128,2014
20,31,340,2014
20,39,885,2014
20,41,573,2014
20,42,136,2014
20,43,819,2014
20,44,244,2014
20,57,703,2014
20,59,1097,2014
20,64,141,2014
20,67,3376,2014
20,73,673,2014
20,79,719,2014
20,115,4,2014
20,156,114,2014
20,158,89,2014
20,164,253,2014
20,177,237,2014
20,184,1256,2014
20,190,124,2014
20,277,66,2014
20,278,133,2014
20,295,609,2014
20,307,15,2014
20,318,504,2014
20,324,759,2014
20,327,188,2014
20,334,239,2014
20,364,243,2014
20,397,619,2014
20,413,317,2014
20,467,587,2014
20,469,451,2014
20,482,903,2014
20,484,92,2014
20,515,181,2014
20,516,168,2014
20,526,181,2014
20,545,70,2014
20,551,699,2014
20,559,122,2014
21,3,1,2014
21,4,270,2014
21,6,134,2014
21,10,84,2014
21,19,839,2014
21,25,39,2014
21,35,211,2014
21,43,290,2014
21,44,107,2014
21,45,242,2014
21,47,288,2014
21,53,476,2014
21,67,49,2014
21,71,809,2014
21,72,65,2014
21,82,7,2014
21,83,18,2014
21,84,205,2014
21,85,923,2014
21,91,28,2014
21,94,468,2014
21,109,59,2014
21,110,47,2014
21,111,33,2014
21,114,5910,2014
21,116,36,2014
21,128,129,2014
21,132,713,2014
21,142,778,2014
21,145,47,2014
21,154,735,2014
21,155,145,2014
21,156,2790,2014
21,164,794,2014
21,169,332,2014
21,172,20,2014
21,174,178,2014
21,177,167,2014
21,183,105,2014
21,191,59,2014
21,195,81,2014
21,197,1044,2014
21,206,7,2014
21,207,737,2014
21,208,861,2014
21,210,84,2014
21,217,24,2014
22,1,48,2014
22,4,1068,2014
22,9,515,2014
22,14,6977,2014
