entidad,municipio,nEgresos,anho
1,1,5995,2017
1,3,296,2017
1,6,643,2017
1,7,666,2017
1,9,1,2017
2,1,1746,2017
2,2,2746,2017
2,3,859,2017
2,4,4652,2017
2,5,516,2017
3,1,384,2017
3,2,336,2017
3,3,1068,2017
3,8,2014,2017
3,9,45,2017
4,1,137,2017
4,2,1988,2017
4,3,1128,2017
4,4,277,2017
4,6,108,2017
4,7,8,2017
4,9,618,2017
4,10,62,2017
4,11,181,2017
5,2,1116,2017
5,3,308,2017
5,7,93,2017
5,9,527,2017
5,11,2,2017
5,17,130,2017
5,18,1758,2017
5,20,435,2017
5,24,369,2017
5,25,1522,2017
5,28,214,2017
5,30,4022,2017
5,32,428,2017
5,33,454,2017
5,35,2530,2017
6,2,1181,2017
6,7,1098,2017
6,9,761,2017
6,10,204,2017
7,2,116,2017
7,8,140,2017
7,9,274,2017
7,17,111,2017
7,19,2564,2017
7,22,8,2017
7,23,210,2017
7,32,2,2017
7,34,408,2017
7,40,1161,2017
7,49,40,2017
7,52,460,2017
7,59,241,2017
7,62,14,2017
7,65,1267,2017
7,68,657,2017
7,69,24,2017
7,70,11,2017
7,78,946,2017
7,89,2059,2017
7,94,43,2017
7,96,159,2017
7,97,439,2017
7,101,2688,2017
7,107,107,2017
7,108,867,2017
7,109,619,2017
8,11,408,2017
8,17,1538,2017
8,19,2979,2017
8,21,1015,2017
8,25,34,2017
8,27,176,2017
8,29,348,2017
8,32,1104,2017
8,36,309,2017
8,37,6833,2017
8,50,820,2017
8,52,11,2017
8,62,2,2017
9,2,1200,2017
9,3,128,2017
9,5,4384,2017
9,6,698,2017
9,7,3999,2017
9,8,955,2017
9,9,391,2017
9,10,3824,2017
9,11,1790,2017
9,12,2254,2017
9,13,760,2017
9,14,574,2017
9,15,1636,2017
9,16,1985,2017
9,17,1889,2017
10,1,4,2017
10,4,35,2017
10,5,4232,2017
10,7,1812,2017
10,12,987,2017
10,14,131,2017
10,15,1,2017
10,17,2,2017
10,18,14,2017
10,20,1,2017
10,22,4,2017
10,23,114,2017
10,28,3,2017
10,32,342,2017
10,33,1,2017
10,34,5,2017
10,39,1,2017
11,1,429,2017
11,2,674,2017
11,3,925,2017
11,4,137,2017
11,5,278,2017
11,7,2635,2017
11,8,81,2017
11,9,338,2017
11,11,287,2017
11,14,1057,2017
11,15,946,2017
11,16,87,2017
11,17,3093,2017
11,18,211,2017
11,19,161,2017
11,20,8928,2017
11,21,229,2017
11,23,775,2017
11,25,330,2017
11,26,155,2017
11,27,1149,2017
11,28,362,2017
11,29,154,2017
11,30,255,2017
11,31,504,2017
11,32,514,2017
