entidad,municipio,nEgresos,anho
1,1,3579,2020
1,3,194,2020
1,5,913,2020
1,6,500,2020
1,7,409,2020
2,1,1679,2020
2,2,2076,2020
2,3,535,2020
2,4,2098,2020
2,5,327,2020
3,1,334,2020
3,2,275,2020
3,3,679,2020
3,8,1167,2020
3,9,30,2020
4,1,82,2020
4,2,1376,2020
4,3,815,2020
4,4,175,2020
4,5,122,2020
4,6,69,2020
4,7,11,2020
4,9,357,2020
4,10,37,2020
4,11,52,2020
5,2,677,2020
5,3,232,2020
5,7,79,2020
5,9,311,2020
5,17,633,2020
5,18,1243,2020
5,20,216,2020
5,24,231,2020
5,25,803,2020
5,27,498,2020
5,28,153,2020
5,30,2669,2020
5,31,219,2020
5,32,228,2020
5,33,243,2020
5,35,2157,2020
6,2,120,2020
6,7,724,2020
6,9,633,2020
6,10,911,2020
7,2,109,2020
7,4,437,2020
7,8,109,2020
7,9,107,2020
7,12,16,2020
7,13,581,2020
7,17,41,2020
7,19,1959,2020
7,23,82,2020
7,34,355,2020
7,40,698,2020
7,49,6,2020
7,51,543,2020
7,52,648,2020
7,57,858,2020
7,59,1020,2020
7,61,895,2020
7,62,1,2020
7,65,1121,2020
7,68,417,2020
7,74,176,2020
7,77,8,2020
7,78,1121,2020
7,81,1,2020
7,89,1766,2020
7,91,1,2020
7,94,37,2020
7,97,381,2020
7,101,1969,2020
7,106,449,2020
7,107,1,2020
7,108,452,2020
7,109,414,2020
7,114,337,2020
8,3,196,2020
8,9,393,2020
8,11,210,2020
8,17,1217,2020
8,19,2529,2020
8,21,863,2020
8,25,23,2020
8,27,605,2020
8,29,215,2020
8,32,768,2020
8,36,200,2020
8,37,2160,2020
8,50,656,2020
8,52,86,2020
8,62,3,2020
9,2,1034,2020
9,5,2665,2020
9,6,419,2020
9,7,2246,2020
9,8,1460,2020
9,9,354,2020
9,10,2417,2020
9,11,1209,2020
9,12,394,2020
9,13,1151,2020
9,14,181,2020
9,15,549,2020
9,16,1668,2020
9,17,1947,2020
10,1,7,2020
10,4,20,2020
10,5,3293,2020
10,7,955,2020
10,8,103,2020
10,12,1321,2020
10,13,1,2020
10,14,81,2020
10,15,1,2020
10,17,1,2020
10,18,11,2020
10,23,85,2020
10,24,78,2020
10,28,1,2020
10,32,243,2020
10,34,20,2020
10,38,145,2020
10,39,13,2020
11,1,171,2020
11,2,343,2020
11,3,618,2020
11,4,48,2020
11,5,158,2020
11,7,1851,2020
11,8,122,2020
11,9,279,2020
11,11,149,2020
11,14,734,2020
11,15,716,2020
11,16,54,2020
11,17,2467,2020
11,18,155,2020
11,19,124,2020
11,20,6929,2020
11,21,92,2020
11,23,486,2020
11,25,187,2020
11,26,135,2020
11,27,533,2020
11,28,256,2020
11,29,111,2020
11,30,230,2020
11,31,325,2020
11,32,329,2020
11,33,813,2020
11,35,221,2020
11,37,1079,2020
11,39,57,2020
11,41,199,2020
11,42,405,2020
11,44,167,2020
11,46,110,2020
12,1,2153,2020
12,7,61,2020
12,11,303,2020
12,12,578,2020
12,21,46,2020
12,22,402,2020
12,28,562,2020
12,29,1279,2020
12,32,133,2020
12,34,390,2020
12,35,624,2020
12,38,453,2020
12,40,30,2020
12,46,525,2020
12,48,51,2020
12,50,54,2020
12,51,21,2020
12,55,393,2020
12,57,25,2020
12,58,2,2020
12,61,22,2020
12,66,1461,2020
12,68,84,2020
12,75,439,2020
13,3,159,2020
13,8,238,2020
13,11,177,2020
13,27,49,2020
13,28,1029,2020
13,29,151,2020
13,30,561,2020
13,31,51,2020
13,35,306,2020
13,41,114,2020
13,48,2007,2020
13,53,91,2020
13,56,570,2020
13,61,102,2020
13,63,94,2020
13,69,36,2020
13,73,279,2020
13,76,683,2020
13,77,104,2020
13,81,489,2020
14,6,104,2020
14,13,48,2020
14,15,570,2020
14,18,566,2020
14,21,1,2020
14,23,992,2020
14,24,360,2020
14,25,140,2020
14,35,26,2020
14,37,35,2020
14,39,8720,2020
14,43,47,2020
14,50,76,2020
14,53,107,2020
14,55,234,2020
14,58,58,2020
14,63,610,2020
14,67,1028,2020
14,73,124,2020
14,78,25,2020
14,82,214,2020
14,83,953,2020
14,85,2,2020
14,91,11,2020
14,93,791,2020
14,97,531,2020
14,100,30,2020
14,114,3,2020
14,118,196,2020
14,120,1223,2020
14,124,364,2020
15,1,218,2020
15,2,214,2020
15,7,30,2020
15,9,328,2020
15,12,142,2020
15,13,2013,2020
15,14,309,2020
15,16,135,2020
15,20,8,2020
15,21,149,2020
15,24,963,2020
15,25,1857,2020
15,30,224,2020
15,31,2034,2020
15,33,3298,2020
15,35,208,2020
15,36,338,2020
15,37,83,2020
15,39,981,2020
15,40,443,2020
15,42,338,2020
15,43,114,2020
15,45,377,2020
15,47,254,2020
15,51,255,2020
15,52,190,2020
15,54,164,2020
15,57,1147,2020
15,58,1205,2020
15,60,103,2020
15,64,111,2020
15,65,135,2020
15,67,91,2020
15,70,1744,2020
15,74,299,2020
15,80,54,2020
15,81,439,2020
15,82,465,2020
15,86,71,2020
15,87,86,2020
15,88,480,2020
15,90,245,2020
15,94,234,2020
15,97,166,2020
15,99,862,2020
15,104,1088,2020
15,105,94,2020
15,106,3508,2020
15,109,430,2020
15,110,510,2020
15,112,67,2020
15,113,107,2020
15,114,451,2020
15,115,175,2020
15,117,29,2020
15,120,211,2020
15,122,513,2020
15,123,103,2020
15,124,408,2020
16,6,535,2020
16,8,4,2020
16,9,358,2020
16,10,33,2020
16,12,350,2020
16,15,153,2020
16,22,630,2020
16,24,178,2020
16,34,118,2020
16,35,66,2020
16,38,228,2020
16,45,43,2020
16,50,81,2020
16,52,634,2020
16,53,2208,2020
16,55,25,2020
16,57,59,2020
16,65,661,2020
16,66,642,2020
16,69,562,2020
16,71,77,2020
16,75,429,2020
16,76,293,2020
16,82,290,2020
16,87,1,2020
16,97,4,2020
16,98,524,2020
16,99,8,2020
16,102,1124,2020
16,104,189,2020
16,107,146,2020
16,108,1167,2020
16,112,291,2020
17,3,145,2020
17,6,1006,2020
17,7,783,2020
17,8,10,2020
