entidad,municipio,nEgresos,anho
1,1,5730,2012
1,3,393,2012
1,6,902,2012
1,7,591,2012
2,1,3087,2012
2,2,4705,2012
2,3,748,2012
2,4,5186,2012
2,5,522,2012
3,1,589,2012
3,2,368,2012
3,3,1304,2012
3,8,1503,2012
3,9,37,2012
4,1,145,2012
4,2,2482,2012
4,3,1689,2012
4,4,372,2012
4,5,184,2012
4,6,163,2012
4,7,21,2012
4,9,533,2012
4,10,133,2012
4,11,197,2012
5,2,1095,2012
5,3,458,2012
5,7,119,2012
5,9,548,2012
5,11,10,2012
5,17,967,2012
5,18,2191,2012
5,20,758,2012
5,24,402,2012
5,25,1492,2012
5,27,682,2012
5,28,234,2012
5,30,3746,2012
5,31,316,2012
5,32,574,2012
5,33,562,2012
5,35,3328,2012
6,2,1730,2012
6,7,1075,2012
6,9,1258,2012
7,2,174,2012
7,4,425,2012
7,8,187,2012
7,9,376,2012
7,13,888,2012
7,17,258,2012
7,19,2876,2012
7,22,35,2012
7,34,285,2012
7,40,1400,2012
7,49,63,2012
7,51,618,2012
7,52,607,2012
7,57,945,2012
7,59,1109,2012
7,61,913,2012
7,65,1329,2012
7,68,741,2012
7,69,135,2012
7,70,25,2012
7,78,2115,2012
7,89,2949,2012
7,91,12,2012
7,94,85,2012
7,96,244,2012
7,97,737,2012
7,101,4051,2012
7,106,663,2012
7,107,99,2012
7,108,1128,2012
7,109,482,2012
7,114,433,2012
8,3,201,2012
8,9,548,2012
8,11,496,2012
8,17,1839,2012
8,19,4497,2012
8,21,1781,2012
8,25,304,2012
8,27,546,2012
8,29,318,2012
8,32,716,2012
8,36,399,2012
8,37,3693,2012
8,50,888,2012
8,52,170,2012
9,2,1728,2012
9,3,303,2012
9,5,5101,2012
9,6,1284,2012
9,7,4641,2012
9,8,1132,2012
9,9,832,2012
9,10,4592,2012
9,11,1891,2012
9,12,3524,2012
9,13,1047,2012
9,14,919,2012
9,15,2295,2012
9,16,4141,2012
9,17,2651,2012
10,1,33,2012
10,4,21,2012
10,5,4523,2012
10,7,2926,2012
10,8,317,2012
10,12,1133,2012
10,13,6,2012
10,14,96,2012
10,15,5,2012
10,17,3,2012
10,18,76,2012
10,20,2,2012
10,21,2,2012
10,22,10,2012
10,23,203,2012
10,24,194,2012
10,28,10,2012
10,32,422,2012
10,33,17,2012
10,34,22,2012
10,38,397,2012
10,39,17,2012
11,1,474,2012
11,2,720,2012
11,3,887,2012
11,4,155,2012
11,5,313,2012
11,7,2881,2012
11,8,199,2012
11,9,468,2012
11,10,7,2012
11,11,360,2012
11,12,82,2012
11,14,925,2012
11,15,1087,2012
11,16,95,2012
11,17,2762,2012
11,18,189,2012
11,19,166,2012
11,20,9141,2012
11,21,13,2012
11,23,810,2012
11,25,336,2012
11,26,307,2012
11,27,1350,2012
11,29,23,2012
11,30,341,2012
11,31,578,2012
11,32,585,2012
11,33,708,2012
11,34,22,2012
11,35,333,2012
11,37,1335,2012
11,38,10,2012
11,39,120,2012
11,40,15,2012
11,41,700,2012
11,42,671,2012
11,44,253,2012
12,1,4414,2012
12,11,365,2012
12,12,824,2012
12,22,1010,2012
12,28,977,2012
12,29,2906,2012
12,34,484,2012
12,35,1507,2012
12,38,830,2012
12,46,1007,2012
12,50,61,2012
12,55,50,2012
12,66,1559,2012
12,68,35,2012
13,3,443,2012
13,8,530,2012
13,27,43,2012
13,28,1588,2012
13,29,412,2012
13,30,1654,2012
13,31,218,2012
13,35,736,2012
13,41,340,2012
13,48,3688,2012
13,53,213,2012
13,61,181,2012
13,63,105,2012
13,69,92,2012
13,73,423,2012
13,76,1502,2012
13,77,1696,2012
13,81,660,2012
14,3,1,2012
14,6,403,2012
14,13,192,2012
14,15,811,2012
14,18,1073,2012
14,21,3,2012
14,22,123,2012
14,23,1425,2012
14,24,750,2012
14,25,59,2012
14,35,71,2012
14,37,120,2012
14,39,15069,2012
14,42,131,2012
14,43,55,2012
14,53,1030,2012
14,55,516,2012
14,58,53,2012
14,63,1149,2012
14,64,201,2012
14,65,1,2012
14,67,2075,2012
14,70,6,2012
14,73,448,2012
14,78,137,2012
14,82,464,2012
14,83,1133,2012
14,85,234,2012
14,87,1,2012
14,91,122,2012
14,93,1097,2012
14,94,1,2012
14,97,589,2012
14,100,101,2012
14,114,12,2012
14,118,270,2012
14,120,3278,2012
14,121,1,2012
14,124,495,2012
15,1,376,2012
15,2,386,2012
15,7,98,2012
15,12,143,2012
15,13,2602,2012
15,14,997,2012
15,20,302,2012
15,21,286,2012
15,24,3251,2012
15,25,3180,2012
15,31,3088,2012
15,33,6667,2012
15,35,558,2012
15,36,278,2012
15,37,307,2012
15,39,1652,2012
15,40,700,2012
15,42,886,2012
15,43,224,2012
15,45,903,2012
15,47,192,2012
15,52,330,2012
15,57,2748,2012
15,58,4125,2012
15,60,124,2012
15,64,97,2012
15,65,413,2012
15,67,168,2012
15,70,1914,2012
15,74,890,2012
15,80,127,2012
15,81,710,2012
15,82,948,2012
15,86,71,2012
15,87,275,2012
15,88,929,2012
15,90,388,2012
15,94,322,2012
15,97,354,2012
15,99,1902,2012
15,104,2859,2012
15,105,258,2012
15,106,6200,2012
15,109,131,2012
15,110,650,2012
15,113,211,2012
15,114,610,2012
15,115,254,2012
15,117,47,2012
15,120,462,2012
15,121,3,2012
15,122,1856,2012
15,123,192,2012
15,124,736,2012
16,6,1017,2012
16,8,10,2012
16,9,849,2012
16,10,70,2012
16,12,577,2012
16,14,29,2012
16,15,229,2012
16,22,565,2012
16,24,394,2012
16,34,405,2012
16,35,29,2012
16,38,443,2012
16,50,639,2012
16,52,1386,2012
