entidad,municipio,nEgresos,anho
1,1,5752,2013
1,3,346,2013
1,6,818,2013
1,7,632,2013
2,1,3103,2013
2,2,3671,2013
2,3,740,2013
2,4,5103,2013
2,5,557,2013
3,1,471,2013
3,2,308,2013
3,3,1255,2013
3,8,1422,2013
3,9,8,2013
4,1,170,2013
4,2,2674,2013
4,3,1751,2013
4,4,334,2013
4,5,129,2013
4,6,190,2013
4,7,26,2013
4,9,535,2013
4,10,91,2013
4,11,194,2013
5,2,1099,2013
5,3,403,2013
5,7,121,2013
5,9,590,2013
5,11,3,2013
5,17,995,2013
5,18,1935,2013
5,20,684,2013
5,24,404,2013
5,25,1495,2013
5,27,544,2013
5,28,305,2013
5,30,3953,2013
5,31,317,2013
5,32,522,2013
5,33,567,2013
5,35,3144,2013
6,2,1661,2013
6,7,1182,2013
6,9,1060,2013
7,2,164,2013
7,4,396,2013
7,8,230,2013
7,9,356,2013
7,13,888,2013
7,17,394,2013
7,19,2773,2013
7,22,52,2013
7,23,128,2013
7,34,384,2013
7,40,1310,2013
7,49,53,2013
7,51,768,2013
7,52,597,2013
7,57,948,2013
7,59,1369,2013
7,61,923,2013
7,65,1473,2013
7,68,827,2013
7,69,139,2013
7,70,22,2013
7,78,2225,2013
7,89,3063,2013
7,94,95,2013
7,96,219,2013
7,97,693,2013
7,101,3829,2013
7,106,669,2013
7,107,106,2013
7,108,1273,2013
7,109,585,2013
7,114,419,2013
8,3,219,2013
8,9,532,2013
8,11,447,2013
8,17,1829,2013
8,19,3912,2013
8,21,1548,2013
8,25,265,2013
8,27,538,2013
8,29,290,2013
8,32,1256,2013
8,36,350,2013
8,37,3447,2013
8,50,827,2013
8,52,150,2013
9,2,1549,2013
9,3,338,2013
9,5,4941,2013
9,6,1087,2013
9,7,4638,2013
9,8,1171,2013
9,9,1070,2013
9,10,4037,2013
9,11,2185,2013
9,12,3248,2013
9,13,1105,2013
9,14,907,2013
9,15,2378,2013
9,16,4110,2013
9,17,1236,2013
10,1,60,2013
10,4,89,2013
10,5,4345,2013
10,6,1,2013
10,7,2596,2013
10,8,349,2013
10,12,1056,2013
10,14,80,2013
10,15,3,2013
10,17,7,2013
10,18,45,2013
10,20,1,2013
10,22,6,2013
10,23,181,2013
10,24,157,2013
10,28,5,2013
10,32,443,2013
10,33,18,2013
10,34,39,2013
10,36,1,2013
10,38,352,2013
10,39,12,2013
11,1,426,2013
11,2,755,2013
11,3,946,2013
11,4,232,2013
11,5,324,2013
11,7,2612,2013
11,8,169,2013
11,9,430,2013
11,11,373,2013
11,14,796,2013
11,15,1164,2013
11,16,48,2013
11,17,2672,2013
11,18,203,2013
11,19,173,2013
11,20,9324,2013
11,21,85,2013
11,23,626,2013
11,25,345,2013
11,26,257,2013
11,27,1240,2013
11,28,1,2013
11,29,119,2013
11,30,316,2013
11,31,518,2013
11,32,506,2013
11,33,758,2013
11,35,386,2013
11,37,1413,2013
11,39,122,2013
11,41,560,2013
11,42,669,2013
11,44,296,2013
11,46,85,2013
12,1,4373,2013
12,11,404,2013
