entidad,municipio,nEgresos,anho
1,1,3679,2021
1,3,172,2021
1,5,593,2021
1,6,420,2021
1,7,475,2021
2,1,1588,2021
2,2,2358,2021
2,3,660,2021
2,4,1526,2021
2,5,247,2021
3,1,293,2021
3,2,254,2021
3,3,664,2021
3,8,1014,2021
3,9,36,2021
4,1,89,2021
4,2,1217,2021
4,3,784,2021
4,4,208,2021
4,5,107,2021
4,6,81,2021
4,7,10,2021
4,9,388,2021
4,10,23,2021
4,11,60,2021
5,2,713,2021
5,3,174,2021
5,7,66,2021
5,9,293,2021
5,11,1,2021
5,17,685,2021
5,18,1195,2021
5,20,339,2021
5,24,266,2021
5,25,723,2021
5,27,412,2021
5,28,132,2021
5,30,2699,2021
5,32,195,2021
5,33,266,2021
5,35,2130,2021
6,2,15,2021
6,7,592,2021
6,9,608,2021
6,10,963,2021
7,2,96,2021
7,4,453,2021
7,8,184,2021
7,9,171,2021
7,12,262,2021
7,13,714,2021
7,17,189,2021
7,19,2012,2021
7,22,33,2021
7,23,133,2021
7,27,104,2021
7,34,321,2021
7,40,687,2021
7,49,31,2021
7,51,511,2021
7,52,787,2021
7,57,847,2021
7,59,1102,2021
7,61,865,2021
7,62,11,2021
7,64,42,2021
7,65,1210,2021
7,68,541,2021
7,69,32,2021
7,70,14,2021
7,74,207,2021
7,75,43,2021
7,77,58,2021
7,78,1790,2021
7,81,137,2021
7,89,1798,2021
7,91,23,2021
7,94,112,2021
7,96,113,2021
7,97,432,2021
7,101,2255,2021
7,106,423,2021
7,107,117,2021
7,108,398,2021
7,109,466,2021
7,114,381,2021
8,3,245,2021
8,9,354,2021
8,11,197,2021
8,17,1159,2021
8,19,2363,2021
8,21,871,2021
8,25,11,2021
8,27,577,2021
8,29,226,2021
8,32,641,2021
8,36,198,2021
8,37,2471,2021
8,50,641,2021
8,52,88,2021
8,62,1,2021
9,2,838,2021
9,3,23,2021
9,5,2079,2021
9,6,287,2021
9,7,1749,2021
9,8,1282,2021
9,9,296,2021
9,10,1945,2021
9,11,1025,2021
9,12,225,2021
9,13,946,2021
9,14,112,2021
9,15,650,2021
9,16,2075,2021
9,17,1718,2021
10,1,33,2021
10,4,18,2021
10,5,3326,2021
10,7,1596,2021
10,8,114,2021
10,12,827,2021
10,14,126,2021
10,17,1,2021
10,18,21,2021
10,22,1,2021
10,23,73,2021
10,24,95,2021
10,28,1,2021
10,32,173,2021
10,34,13,2021
10,38,92,2021
10,39,7,2021
11,1,132,2021
11,2,352,2021
11,3,512,2021
11,4,26,2021
11,5,134,2021
11,7,1904,2021
11,8,112,2021
11,9,172,2021
11,11,126,2021
11,14,633,2021
11,15,628,2021
11,16,43,2021
11,17,2063,2021
11,18,122,2021
11,19,94,2021
11,20,6555,2021
11,21,95,2021
11,23,499,2021
11,25,189,2021
11,26,114,2021
11,27,533,2021
11,28,194,2021
11,29,81,2021
11,30,173,2021
11,31,241,2021
11,32,234,2021
11,33,693,2021
11,35,196,2021
11,37,1047,2021
11,39,55,2021
11,41,163,2021
11,42,400,2021
11,44,167,2021
11,46,102,2021
12,1,2091,2021
12,7,54,2021
12,11,298,2021
12,12,591,2021
12,21,29,2021
12,22,417,2021
12,28,696,2021
12,29,1165,2021
12,32,113,2021
12,34,338,2021
12,35,610,2021
12,38,443,2021
12,40,9,2021
12,46,637,2021
12,48,9,2021
12,50,71,2021
12,51,96,2021
12,53,9,2021
12,55,337,2021
12,57,39,2021
12,58,2,2021
12,61,54,2021
12,66,1532,2021
12,68,105,2021
