entidad,municipio,nEgresos,anho
1,1,6125,2015
1,3,287,2015
1,6,659,2015
1,7,739,2015
2,1,2841,2015
2,2,3642,2015
2,3,1043,2015
2,4,5336,2015
2,5,590,2015
3,1,500,2015
3,2,371,2015
3,3,1123,2015
3,8,1922,2015
3,9,14,2015
4,1,123,2015
4,2,2659,2015
4,3,1700,2015
4,4,300,2015
4,5,148,2015
4,6,143,2015
4,7,4,2015
4,9,680,2015
4,10,63,2015
4,11,224,2015
5,2,1350,2015
5,3,298,2015
5,7,97,2015
5,9,302,2015
5,11,5,2015
5,17,1086,2015
5,18,2293,2015
5,20,779,2015
5,24,460,2015
5,25,1704,2015
5,27,657,2015
5,28,258,2015
5,30,4833,2015
5,31,457,2015
5,32,421,2015
5,33,622,2015
5,35,3646,2015
6,2,1541,2015
6,7,1272,2015
6,9,983,2015
7,2,168,2015
7,4,466,2015
7,8,165,2015
7,9,339,2015
7,13,1065,2015
7,17,409,2015
7,19,2832,2015
7,22,52,2015
7,23,149,2015
7,34,477,2015
7,40,1154,2015
7,49,54,2015
7,51,623,2015
7,52,701,2015
7,57,1096,2015
7,59,1350,2015
7,61,951,2015
7,65,1231,2015
7,68,782,2015
7,69,189,2015
7,70,16,2015
7,78,2221,2015
7,89,3235,2015
7,94,89,2015
7,96,211,2015
7,97,640,2015
7,101,3999,2015
7,106,709,2015
7,107,100,2015
7,108,1126,2015
7,109,608,2015
7,114,490,2015
8,2,3,2015
8,3,234,2015
8,9,566,2015
8,11,447,2015
8,17,1831,2015
8,19,3874,2015
8,21,1195,2015
8,25,105,2015
8,27,579,2015
8,29,194,2015
8,32,1258,2015
8,36,373,2015
8,37,5904,2015
8,50,800,2015
8,52,152,2015
8,62,3,2015
9,2,1280,2015
9,3,240,2015
9,4,87,2015
9,5,4883,2015
9,6,907,2015
9,7,4398,2015
9,8,1284,2015
9,9,891,2015
9,10,3874,2015
9,11,2279,2015
9,12,2927,2015
9,13,995,2015
9,14,932,2015
9,15,2020,2015
9,16,3164,2015
9,17,1448,2015
10,1,22,2015
10,4,65,2015
10,5,4602,2015
10,7,2919,2015
10,8,377,2015
10,12,1171,2015
10,14,110,2015
10,15,3,2015
10,17,2,2015
10,18,35,2015
10,22,4,2015
10,23,148,2015
10,24,81,2015
10,32,395,2015
10,33,9,2015
10,34,23,2015
10,36,1,2015
10,38,248,2015
10,39,10,2015
11,1,374,2015
11,2,725,2015
11,3,935,2015
11,4,161,2015
11,5,260,2015
11,7,2906,2015
11,8,131,2015
11,9,432,2015
11,11,305,2015
11,14,892,2015
11,15,1024,2015
11,16,63,2015
11,17,2832,2015
11,18,214,2015
11,19,154,2015
11,20,8726,2015
11,21,281,2015
11,23,749,2015
11,25,257,2015
