entidad,municipio,nEgresos,anho
1,1,4611,2019
1,3,178,2019
1,5,502,2019
1,6,228,2019
1,7,678,2019
2,1,1963,2019
2,2,3223,2019
2,3,611,2019
2,4,3470,2019
2,5,326,2019
3,1,340,2019
3,2,252,2019
3,3,891,2019
3,8,1675,2019
3,9,27,2019
4,1,106,2019
4,2,1675,2019
4,3,1084,2019
4,4,271,2019
4,5,123,2019
4,6,65,2019
4,7,1,2019
4,9,440,2019
4,10,70,2019
4,11,101,2019
5,2,921,2019
5,3,247,2019
5,7,117,2019
5,9,409,2019
5,11,4,2019
5,17,813,2019
5,18,1290,2019
5,20,370,2019
5,24,308,2019
5,25,1092,2019
5,27,477,2019
5,28,168,2019
5,30,3357,2019
5,31,306,2019
5,32,325,2019
5,33,390,2019
5,35,2478,2019
6,2,560,2019
6,7,881,2019
6,9,676,2019
6,10,634,2019
7,2,111,2019
7,4,454,2019
7,8,118,2019
7,9,241,2019
7,12,220,2019
7,13,905,2019
7,17,55,2019
7,19,2146,2019
7,22,38,2019
7,23,158,2019
7,34,470,2019
7,40,848,2019
7,49,39,2019
7,51,666,2019
7,52,767,2019
7,57,952,2019
7,59,1250,2019
7,61,1180,2019
7,62,6,2019
7,64,8,2019
7,65,1170,2019
7,68,602,2019
7,69,12,2019
7,74,181,2019
7,78,2053,2019
7,81,4,2019
7,89,1016,2019
7,94,28,2019
7,96,150,2019
7,97,489,2019
7,101,2675,2019
7,106,517,2019
7,108,708,2019
7,109,523,2019
7,114,377,2019
8,3,196,2019
8,9,357,2019
8,11,351,2019
8,17,1248,2019
8,19,2878,2019
8,21,1070,2019
8,25,10,2019
8,27,632,2019
8,29,226,2019
8,32,775,2019
8,36,246,2019
8,37,3090,2019
8,50,699,2019
8,52,112,2019
8,62,6,2019
9,2,1059,2019
9,5,3443,2019
9,6,613,2019
9,7,3153,2019
9,8,591,2019
9,9,326,2019
9,10,3264,2019
9,11,1514,2019
9,12,1440,2019
9,13,720,2019
9,14,245,2019
9,15,1161,2019
9,16,1913,2019
9,17,1785,2019
10,1,7,2019
10,4,33,2019
10,5,3569,2019
10,6,1,2019
10,7,2375,2019
10,8,177,2019
10,12,805,2019
10,13,2,2019
10,14,88,2019
10,15,2,2019
10,17,1,2019
10,18,21,2019
10,22,1,2019
10,23,143,2019
10,24,70,2019
10,28,2,2019
10,32,294,2019
10,33,2,2019
10,34,13,2019
10,36,1,2019
10,38,142,2019
10,39,2,2019
11,1,333,2019
11,2,499,2019
11,3,828,2019
11,4,121,2019
11,5,177,2019
11,7,2142,2019
11,8,113,2019
11,9,300,2019
11,11,185,2019
11,14,881,2019
11,15,853,2019
11,16,71,2019
11,17,2499,2019
11,18,149,2019
11,19,110,2019
11,20,7567,2019
11,21,149,2019
11,23,642,2019
11,25,338,2019
11,26,164,2019
11,27,856,2019
11,28,304,2019
11,29,137,2019
11,30,252,2019
11,31,479,2019
11,32,389,2019
11,33,941,2019
11,35,268,2019
11,37,1178,2019
11,39,54,2019
11,41,246,2019
11,42,503,2019
11,44,159,2019
11,46,158,2019
12,1,2879,2019
12,7,79,2019
12,11,407,2019
12,12,751,2019
12,21,60,2019
12,22,639,2019
12,28,790,2019
12,29,1376,2019
12,32,104,2019
12,34,408,2019
12,35,986,2019
12,38,596,2019
12,40,9,2019
12,46,721,2019
12,50,83,2019
12,51,151,2019
12,55,536,2019
12,57,198,2019
12,61,102,2019
12,66,1779,2019
12,68,25,2019
12,75,589,2019
13,3,229,2019
13,8,290,2019
13,11,147,2019
13,27,85,2019
13,28,1221,2019
13,29,247,2019
13,30,764,2019
13,31,42,2019
13,35,413,2019
13,41,174,2019
13,48,2654,2019
13,53,115,2019
13,56,857,2019
13,61,137,2019
13,63,115,2019
13,69,161,2019
13,73,276,2019
13,76,988,2019
13,77,112,2019
13,81,524,2019
