entidad,municipio,nEgresos,anho
1,1,5015,2009
1,3,344,2009
1,6,546,2009
1,7,706,2009
2,1,3196,2009
2,2,4453,2009
2,3,422,2009
2,4,5787,2009
2,5,476,2009
3,1,542,2009
3,2,363,2009
3,3,211,2009
3,8,1538,2009
3,9,40,2009
4,1,136,2009
4,2,518,2009
4,3,1592,2009
4,4,418,2009
4,5,225,2009
4,6,137,2009
4,7,27,2009
4,10,117,2009
4,11,228,2009
5,2,924,2009
5,3,448,2009
5,7,126,2009
5,9,604,2009
5,11,8,2009
5,17,802,2009
5,18,1925,2009
5,20,649,2009
5,24,411,2009
5,25,1425,2009
5,27,576,2009
5,28,340,2009
5,30,2691,2009
5,31,273,2009
5,32,366,2009
5,33,538,2009
5,35,2860,2009
6,2,1725,2009
6,7,1217,2009
6,9,1260,2009
7,2,219,2009
7,4,117,2009
7,8,152,2009
7,9,343,2009
7,13,499,2009
7,17,264,2009
7,19,2346,2009
7,40,1105,2009
7,49,1,2009
7,51,636,2009
7,52,358,2009
7,57,512,2009
7,59,891,2009
7,61,694,2009
7,65,1087,2009
7,68,726,2009
7,70,22,2009
7,78,1883,2009
7,89,2669,2009
7,96,83,2009
7,97,710,2009
7,101,4197,2009
7,106,513,2009
7,107,13,2009
7,109,495,2009
7,114,330,2009
8,3,180,2009
8,9,595,2009
8,11,465,2009
8,17,1772,2009
8,19,3681,2009
8,21,1619,2009
8,25,258,2009
8,27,700,2009
8,29,326,2009
8,32,926,2009
8,36,437,2009
8,37,3909,2009
8,40,1,2009
8,50,810,2009
8,52,144,2009
9,2,1735,2009
9,3,332,2009
9,5,4563,2009
9,6,983,2009
9,7,4270,2009
9,8,1128,2009
9,9,1211,2009
9,10,4243,2009
9,11,1662,2009
9,12,2180,2009
9,13,1178,2009
9,14,1128,2009
9,15,3061,2009
9,16,4468,2009
9,17,3409,2009
10,1,40,2009
10,4,127,2009
10,5,4191,2009
10,7,2516,2009
10,8,463,2009
10,14,84,2009
10,17,7,2009
10,18,121,2009
10,20,7,2009
10,21,1,2009
10,23,256,2009
10,24,171,2009
10,28,7,2009
10,32,469,2009
10,33,53,2009
10,34,47,2009
10,38,308,2009
10,39,12,2009
11,1,102,2009
11,2,61,2009
11,3,890,2009
11,4,24,2009
11,5,286,2009
11,7,2774,2009
11,8,10,2009
11,9,347,2009
11,10,5,2009
11,11,322,2009
11,12,119,2009
11,14,803,2009
11,15,1177,2009
11,16,28,2009
11,17,2699,2009
11,19,133,2009
11,20,8878,2009
11,21,10,2009
11,23,844,2009
