entidad,municipio,nEgresos,anho
1,1,5080,2018
1,3,254,2018
1,5,345,2018
1,6,591,2018
1,7,715,2018
2,1,1752,2018
2,2,2735,2018
2,3,748,2018
2,4,4267,2018
2,5,462,2018
3,1,380,2018
3,2,335,2018
3,3,919,2018
3,8,2093,2018
3,9,34,2018
4,1,141,2018
4,2,1734,2018
4,3,955,2018
4,4,310,2018
4,5,27,2018
4,6,56,2018
4,7,1,2018
4,9,565,2018
4,10,46,2018
4,11,152,2018
5,2,1056,2018
5,3,331,2018
5,7,98,2018
5,9,430,2018
5,11,1,2018
5,17,342,2018
5,18,1576,2018
5,20,433,2018
5,24,371,2018
5,25,1362,2018
5,27,109,2018
5,28,188,2018
5,30,3617,2018
5,31,88,2018
5,32,373,2018
5,33,369,2018
5,35,2719,2018
6,2,677,2018
6,7,1057,2018
6,9,780,2018
6,10,625,2018
7,2,91,2018
7,4,125,2018
7,8,55,2018
7,9,245,2018
7,13,244,2018
7,17,156,2018
7,19,2187,2018
7,23,191,2018
7,34,459,2018
7,40,1077,2018
7,49,37,2018
7,51,19,2018
7,52,488,2018
7,57,297,2018
7,59,347,2018
7,61,278,2018
7,62,12,2018
7,65,1163,2018
7,68,608,2018
7,69,64,2018
7,70,3,2018
7,74,64,2018
7,78,1260,2018
7,89,939,2018
7,96,95,2018
7,97,460,2018
7,101,3125,2018
7,106,1,2018
7,107,42,2018
7,108,846,2018
7,109,416,2018
7,114,100,2018
8,3,64,2018
8,9,106,2018
8,11,369,2018
8,17,1428,2018
8,19,3245,2018
8,21,1168,2018
8,25,20,2018
8,27,307,2018
8,29,320,2018
8,31,1,2018
8,32,753,2018
8,36,282,2018
8,37,5969,2018
8,50,749,2018
8,52,103,2018
8,62,2,2018
9,2,1056,2018
9,5,3725,2018
9,6,590,2018
9,7,3600,2018
9,8,648,2018
9,9,206,2018
9,10,3687,2018
9,11,1665,2018
9,12,1450,2018
9,13,859,2018
9,14,313,2018
9,15,1377,2018
9,16,2073,2018
9,17,1798,2018
10,1,8,2018
10,4,39,2018
10,5,4002,2018
10,7,1756,2018
10,8,72,2018
10,12,956,2018
10,13,3,2018
