entidad,municipio,nEgresos,anho
1,1,5086,2010
1,3,401,2010
1,6,628,2010
1,7,773,2010
2,1,2955,2010
2,2,3863,2010
2,3,489,2010
2,4,5417,2010
2,5,556,2010
3,1,586,2010
3,2,380,2010
3,3,632,2010
3,8,1461,2010
3,9,21,2010
4,1,141,2010
4,2,1285,2010
4,3,1516,2010
4,4,395,2010
4,5,142,2010
4,6,157,2010
4,7,34,2010
4,10,101,2010
4,11,244,2010
5,2,897,2010
5,3,395,2010
5,7,109,2010
5,9,680,2010
5,11,16,2010
5,17,823,2010
5,18,2078,2010
5,20,754,2010
5,24,363,2010
5,25,1441,2010
5,27,549,2010
5,28,174,2010
5,30,2879,2010
5,31,213,2010
5,32,576,2010
5,33,491,2010
5,35,2903,2010
6,2,1781,2010
6,6,4,2010
6,7,1044,2010
6,9,1346,2010
7,2,205,2010
7,4,230,2010
7,8,151,2010
7,9,358,2010
7,13,670,2010
7,17,162,2010
7,19,2715,2010
7,40,1289,2010
7,49,13,2010
7,51,684,2010
7,52,443,2010
7,57,784,2010
7,59,912,2010
7,61,637,2010
7,65,1129,2010
7,68,692,2010
7,70,26,2010
7,78,1866,2010
7,89,2629,2010
7,96,152,2010
7,97,635,2010
7,101,4432,2010
7,106,546,2010
7,107,23,2010
7,109,388,2010
7,114,326,2010
8,3,202,2010
8,9,587,2010
8,11,507,2010
8,17,1438,2010
8,19,3613,2010
8,21,1478,2010
8,25,315,2010
8,27,702,2010
8,29,305,2010
8,31,2,2010
8,32,669,2010
8,36,371,2010
8,37,3668,2010
8,50,273,2010
8,52,140,2010
8,62,2,2010
9,2,1805,2010
9,3,335,2010
9,5,4580,2010
9,6,1059,2010
9,7,4424,2010
9,8,1228,2010
9,9,1410,2010
9,10,4682,2010
9,11,1501,2010
9,12,2148,2010
9,13,1079,2010
9,14,1067,2010
9,15,2682,2010
9,16,4084,2010
9,17,3582,2010
10,1,46,2010
10,4,102,2010
10,5,4254,2010
10,7,2539,2010
10,8,421,2010
10,12,906,2010
10,13,4,2010
10,14,94,2010
10,17,8,2010
10,18,107,2010
10,20,4,2010
10,21,3,2010
10,23,170,2010
10,24,222,2010
10,28,4,2010
10,32,362,2010
10,33,13,2010
10,34,70,2010
10,36,1,2010
10,38,285,2010
10,39,19,2010
11,1,168,2010
11,2,44,2010
11,3,874,2010
11,4,18,2010
11,5,333,2010
11,7,2772,2010
11,8,16,2010
11,9,422,2010
11,10,9,2010
11,11,384,2010
11,12,111,2010
11,14,929,2010
11,15,1183,2010
11,16,78,2010
11,17,2579,2010
11,19,112,2010
11,20,8953,2010
11,21,17,2010
11,23,873,2010
11,25,345,2010
11,26,257,2010
11,27,1516,2010
11,28,12,2010
11,30,358,2010
11,31,334,2010
11,32,535,2010
11,33,593,2010
11,34,27,2010
11,35,245,2010
11,37,1149,2010
11,38,3,2010
11,39,177,2010
11,40,24,2010
11,41,811,2010
11,42,189,2010
11,44,192,2010
12,1,4439,2010
12,11,425,2010
12,12,630,2010
12,22,1107,2010
12,28,875,2010
12,29,2433,2010
12,34,486,2010
12,35,1330,2010
12,38,874,2010
12,46,889,2010
12,50,60,2010
12,55,28,2010
12,66,1453,2010
13,3,504,2010
13,8,477,2010
13,11,1,2010
13,13,4,2010
13,27,112,2010
13,28,1402,2010
13,29,449,2010
13,30,1405,2010
13,31,217,2010
13,35,710,2010
13,41,486,2010
13,48,3651,2010
13,53,159,2010
13,61,142,2010
13,63,86,2010
13,69,103,2010
13,73,380,2010
13,76,1379,2010
13,77,1483,2010
13,81,659,2010
14,6,310,2010
14,13,263,2010
14,15,867,2010
14,18,1421,2010
14,21,2,2010
14,22,78,2010
14,23,1379,2010
14,24,671,2010
14,25,183,2010
14,35,80,2010
14,37,109,2010
14,39,15028,2010
14,42,123,2010
14,43,120,2010
14,53,963,2010
14,55,653,2010
14,58,46,2010
14,63,379,2010
14,64,210,2010
14,65,1,2010
14,67,2209,2010
14,70,12,2010
14,73,352,2010
14,78,78,2010
14,82,478,2010
14,83,932,2010
14,85,245,2010
14,91,113,2010
14,93,1150,2010
14,94,2,2010
14,100,177,2010
14,114,7,2010
14,118,271,2010
14,120,3302,2010
14,124,339,2010
15,1,368,2010
15,2,361,2010
15,12,39,2010
15,13,1113,2010
15,14,984,2010
15,20,265,2010
15,21,229,2010
15,24,3225,2010
15,25,2213,2010
15,31,1941,2010
15,33,6441,2010
15,35,418,2010
15,37,285,2010
15,39,1983,2010
15,40,706,2010
15,42,1000,2010
15,43,2,2010
15,45,882,2010
15,52,373,2010
15,57,3173,2010
15,58,5418,2010
15,64,83,2010
15,65,502,2010
15,67,194,2010
15,70,313,2010
15,74,1199,2010
15,80,110,2010
15,81,362,2010
15,82,654,2010
15,87,346,2010
15,88,709,2010
15,90,354,2010
15,94,296,2010
15,97,224,2010
15,99,1022,2010
15,104,3129,2010
15,105,259,2010
15,106,6139,2010
15,109,10,2010
15,110,640,2010
15,113,182,2010
15,114,492,2010
15,115,308,2010
15,117,13,2010
15,120,461,2010
15,121,2,2010
15,122,768,2010
15,123,241,2010
16,6,1205,2010
16,8,23,2010
16,9,695,2010
16,10,81,2010
16,12,32,2010
16,14,57,2010
16,15,239,2010
16,24,337,2010
16,34,5,2010
16,35,56,2010
16,38,430,2010
16,50,763,2010
16,52,1464,2010
16,53,5087,2010
16,55,210,2010
16,57,96,2010
16,65,588,2010
16,66,749,2010
16,69,1227,2010
16,71,210,2010
16,75,105,2010
16,76,770,2010
16,82,521,2010
16,97,1,2010
16,98,882,2010
16,99,233,2010
16,102,2631,2010
16,104,76,2010
16,107,124,2010
16,108,2237,2010
16,112,405,2010
17,3,546,2010
17,6,1374,2010
17,7,3188,2010
17,8,67,2010
17,12,1234,2010
17,17,48,2010
17,18,193,2010
17,21,402,2010
17,29,1485,2010
17,31,139,2010
18,1,144,2010
18,4,123,2010
18,6,343,2010
18,9,223,2010
18,10,342,2010
18,15,1199,2010
18,16,125,2010
18,17,3313,2010
18,18,47,2010
18,19,17,2010
18,20,582,2010
19,4,1,2010
19,9,14,2010
19,11,244,2010
19,14,400,2010
19,17,211,2010
19,22,1,2010
19,26,7296,2010
19,33,485,2010
19,38,641,2010
19,39,2750,2010
19,44,443,2010
19,46,3742,2010
20,6,250,2010
20,14,193,2010
20,21,39,2010
20,26,196,2010
20,31,224,2010
20,39,888,2010
20,41,483,2010
20,42,118,2010
20,43,729,2010
20,44,122,2010
20,57,468,2010
20,59,816,2010
20,64,24,2010
20,67,3563,2010
20,73,550,2010
20,79,849,2010
20,115,3,2010
20,156,72,2010
20,158,58,2010
20,164,124,2010
20,177,304,2010
20,184,844,2010
20,190,195,2010
20,278,84,2010
20,295,707,2010
20,318,484,2010
20,324,841,2010
20,327,231,2010
20,334,9,2010
20,364,231,2010
20,397,443,2010
20,413,76,2010
20,467,665,2010
20,469,337,2010
20,482,676,2010
20,484,101,2010
20,515,338,2010
20,516,133,2010
20,526,84,2010
20,551,706,2010
20,559,83,2010
21,4,292,2010
21,6,37,2010
21,10,104,2010
21,19,620,2010
21,25,103,2010
21,35,291,2010
21,44,102,2010
21,45,267,2010
21,47,365,2010
21,51,2,2010
21,53,435,2010
21,67,101,2010
21,71,878,2010
21,72,86,2010
21,82,29,2010
21,83,19,2010
21,85,1,2010
21,91,26,2010
21,94,466,2010
21,110,131,2010
21,111,44,2010
21,114,6407,2010
21,116,66,2010
21,132,665,2010
21,142,892,2010
21,145,117,2010
21,154,368,2010
21,155,143,2010
21,156,2188,2010
21,164,1007,2010
21,169,305,2010
21,174,176,2010
21,177,147,2010
21,183,35,2010
21,191,48,2010
21,195,74,2010
21,197,801,2010
21,207,897,2010
21,208,980,2010
21,210,113,2010
21,217,38,2010
22,4,1121,2010
22,9,577,2010
22,14,6030,2010
22,16,222,2010
23,1,400,2010
23,2,449,2010
23,3,17,2010
23,4,1717,2010
23,5,3294,2010
23,6,97,2010
23,7,3,2010
23,8,752,2010
24,3,390,2010
24,8,246,2010
24,10,74,2010
24,13,2143,2010
24,15,378,2010
24,16,79,2010
24,20,1139,2010
24,24,1252,2010
24,25,112,2010
24,28,4160,2010
24,35,187,2010
24,37,1267,2010
24,40,150,2010
24,54,206,2010
24,56,7,2010
24,58,9,2010
25,1,2650,2010
25,2,166,2010
25,3,92,2010
25,4,155,2010
25,5,114,2010
25,6,6201,2010
25,7,126,2010
25,8,256,2010
25,9,561,2010
25,10,404,2010
25,11,1794,2010
25,12,2085,2010
25,13,74,2010
25,14,187,2010
25,15,599,2010
25,16,56,2010
25,17,100,2010
25,18,578,2010
26,2,606,2010
26,3,94,2010
26,17,786,2010
26,18,2747,2010
26,19,267,2010
26,25,22,2010
26,29,1069,2010
26,30,4465,2010
26,33,465,2010
26,36,269,2010
26,38,106,2010
26,41,48,2010
26,42,1333,2010
26,43,1315,2010
26,48,491,2010
26,55,921,2010
26,58,3,2010
26,66,36,2010
27,1,400,2010
27,2,1648,2010
27,4,7294,2010
27,5,1101,2010
27,6,916,2010
27,7,330,2010
27,8,889,2010
27,9,51,2010
27,10,124,2010
27,11,159,2010
27,12,1105,2010
27,13,83,2010
27,14,313,2010
27,15,189,2010
27,16,705,2010
27,17,403,2010
28,1,5,2010
28,2,71,2010
28,9,1525,2010
28,16,68,2010
28,17,5,2010
28,21,1220,2010
28,22,2447,2010
28,27,2265,2010
28,32,3330,2010
28,33,6,2010
28,35,450,2010
28,37,184,2010
28,38,1798,2010
28,39,283,2010
28,41,2603,2010
29,5,137,2010
29,6,673,2010
29,7,178,2010
29,18,168,2010
29,25,406,2010
29,33,994,2010
29,34,186,2010
29,38,1245,2010
29,44,286,2010
30,10,675,2010
30,11,56,2010
30,13,298,2010
30,16,432,2010
30,21,54,2010
30,23,1,2010
30,32,415,2010
30,34,148,2010
30,38,488,2010
30,39,2043,2010
30,44,2015,2010
30,45,1010,2010
30,47,728,2010
30,58,757,2010
30,61,377,2010
30,66,165,2010
30,69,127,2010
30,71,582,2010
30,72,48,2010
30,77,321,2010
30,82,165,2010
30,83,104,2010
30,87,3861,2010
30,89,813,2010
30,91,81,2010
30,97,101,2010
30,102,1160,2010
30,104,330,2010
30,108,1389,2010
30,109,600,2010
30,116,862,2010
30,117,16,2010
30,118,200,2010
30,121,116,2010
30,123,366,2010
30,124,1180,2010
30,128,473,2010
30,130,122,2010
30,131,1571,2010
30,138,1660,2010
30,141,1060,2010
30,143,507,2010
30,155,271,2010
30,161,122,2010
30,164,203,2010
30,169,126,2010
30,173,327,2010
30,174,588,2010
30,178,48,2010
30,181,161,2010
30,183,187,2010
30,184,315,2010
30,189,918,2010
30,193,4417,2010
30,201,441,2010
30,206,1,2010
30,210,61,2010
31,2,237,2010
31,40,262,2010
31,48,266,2010
31,50,5570,2010
31,52,68,2010
31,56,386,2010
31,59,23,2010
31,96,717,2010
31,101,206,2010
32,5,78,2010
32,7,274,2010
32,10,2642,2010
32,17,3108,2010
32,19,136,2010
32,20,422,2010
32,22,151,2010
32,23,87,2010
32,24,423,2010
32,34,64,2010
32,36,174,2010
32,38,437,2010
32,39,438,2010
32,42,13,2010
32,44,30,2010
32,48,258,2010
32,49,136,2010
32,51,69,2010
32,55,190,2010
32,56,290,2010
32,57,78,2010
NA,NA,17127,2010
