entidad,municipio,nEgresos,anho
1,1,5480,2011
1,3,363,2011
1,6,584,2011
1,7,855,2011
2,1,2874,2011
2,2,4252,2011
2,3,682,2011
2,4,5460,2011
2,5,505,2011
3,1,517,2011
3,2,366,2011
3,3,1298,2011
3,8,1446,2011
3,9,30,2011
4,1,184,2011
4,2,2359,2011
4,3,1742,2011
4,4,368,2011
4,5,126,2011
4,6,160,2011
4,7,29,2011
4,10,114,2011
4,11,254,2011
5,2,1040,2011
5,3,423,2011
5,7,120,2011
5,9,598,2011
5,11,1,2011
5,17,680,2011
5,18,2104,2011
5,20,774,2011
5,24,348,2011
5,25,1511,2011
5,27,571,2011
5,28,31,2011
5,30,3654,2011
5,31,286,2011
5,32,666,2011
5,33,618,2011
5,35,3409,2011
6,2,1715,2011
6,6,4,2011
6,7,1198,2011
6,9,1094,2011
7,2,216,2011
7,4,354,2011
7,8,161,2011
7,9,386,2011
7,13,961,2011
7,17,140,2011
7,19,2998,2011
7,22,22,2011
7,40,1253,2011
7,49,47,2011
7,51,733,2011
7,52,492,2011
7,57,784,2011
7,59,1105,2011
7,61,708,2011
7,65,1249,2011
7,68,548,2011
7,69,161,2011
7,70,43,2011
7,78,2026,2011
7,89,2896,2011
7,91,8,2011
7,94,22,2011
7,96,191,2011
7,97,587,2011
7,101,4213,2011
7,106,501,2011
7,107,37,2011
7,108,1119,2011
7,109,433,2011
7,114,387,2011
8,3,220,2011
8,9,600,2011
8,11,549,2011
8,17,1767,2011
8,19,4104,2011
8,21,1680,2011
8,25,311,2011
8,27,754,2011
8,29,384,2011
8,32,1266,2011
8,36,432,2011
8,37,3679,2011
8,50,783,2011
8,52,155,2011
9,2,1768,2011
9,3,283,2011
9,5,5029,2011
9,6,1122,2011
9,7,4509,2011
9,8,987,2011
9,9,1245,2011
9,10,4761,2011
9,11,1693,2011
9,12,2972,2011
9,13,919,2011
9,14,893,2011
9,15,2607,2011
9,16,4531,2011
9,17,3103,2011
10,1,62,2011
10,4,41,2011
10,5,4445,2011
10,7,1857,2011
10,8,395,2011
10,12,1870,2011
10,13,3,2011
10,14,116,2011
10,15,3,2011
10,17,5,2011
10,18,92,2011
10,20,7,2011
10,21,6,2011
10,22,3,2011
10,23,215,2011
10,24,181,2011
10,28,6,2011
10,32,416,2011
10,33,23,2011
10,34,65,2011
10,36,2,2011
10,38,395,2011
10,39,16,2011
11,1,253,2011
11,2,737,2011
11,3,958,2011
11,4,38,2011
11,5,335,2011
11,7,2830,2011
11,8,175,2011
11,9,502,2011
11,10,9,2011
11,11,364,2011
11,12,123,2011
11,14,963,2011
11,15,1237,2011
11,16,82,2011
11,17,2662,2011
11,18,34,2011
11,19,98,2011
11,20,9224,2011
11,21,24,2011
11,23,904,2011
11,25,315,2011
11,26,291,2011
11,27,1301,2011
11,28,9,2011
11,30,319,2011
11,31,472,2011
11,32,556,2011
11,33,701,2011
11,34,28,2011
11,35,251,2011
11,37,1323,2011
11,39,118,2011
11,40,28,2011
11,41,743,2011
11,42,627,2011
11,44,275,2011
12,1,4141,2011
12,11,451,2011
12,12,779,2011
12,22,875,2011
12,28,888,2011
12,29,2734,2011
12,34,502,2011
12,35,1346,2011
12,38,841,2011
12,46,962,2011
12,50,67,2011
12,55,41,2011
12,66,1575,2011
12,68,100,2011
13,3,471,2011
13,8,567,2011
13,27,52,2011
13,28,1473,2011
13,29,472,2011
13,30,1527,2011
13,31,154,2011
13,35,790,2011
13,41,395,2011
13,48,3670,2011
13,53,181,2011
13,61,138,2011
13,63,89,2011
13,69,85,2011
13,73,374,2011
13,76,1462,2011
13,77,1613,2011
13,81,682,2011
14,6,398,2011
14,13,223,2011
14,15,884,2011
14,18,1114,2011
14,21,3,2011
14,22,131,2011
14,23,1413,2011
14,24,715,2011
14,25,174,2011
14,35,74,2011
14,37,111,2011
14,39,15830,2011
14,42,130,2011
14,43,82,2011
14,53,933,2011
14,55,694,2011
14,58,62,2011
14,63,1005,2011
14,64,250,2011
14,67,2298,2011
14,70,9,2011
14,73,453,2011
14,78,81,2011
14,82,415,2011
14,83,1018,2011
14,85,195,2011
14,87,1,2011
14,91,116,2011
14,93,1136,2011
14,94,1,2011
14,97,170,2011
14,100,164,2011
14,108,1,2011
14,114,17,2011
14,118,287,2011
14,120,3777,2011
14,121,1,2011
14,124,423,2011
15,1,329,2011
15,2,344,2011
15,7,321,2011
15,12,71,2011
15,13,2123,2011
15,14,978,2011
15,20,210,2011
15,21,293,2011
15,24,3227,2011
15,25,3036,2011
15,31,1524,2011
15,33,6937,2011
15,35,544,2011
15,37,318,2011
15,39,1597,2011
15,40,702,2011
15,42,1059,2011
15,43,136,2011
15,45,980,2011
15,47,40,2011
15,52,318,2011
15,57,2948,2011
15,58,5139,2011
15,64,125,2011
15,65,452,2011
15,67,182,2011
15,70,355,2011
15,74,896,2011
15,80,127,2011
15,81,395,2011
15,82,936,2011
15,87,321,2011
15,88,768,2011
15,90,384,2011
15,94,286,2011
15,97,307,2011
15,99,1703,2011
15,104,2500,2011
15,105,253,2011
15,106,6137,2011
15,109,16,2011
15,110,612,2011
15,113,238,2011
15,114,565,2011
15,115,222,2011
15,117,37,2011
15,120,390,2011
15,121,3,2011
15,122,1094,2011
15,123,200,2011
15,124,507,2011
16,6,1071,2011
16,8,12,2011
16,9,847,2011
16,10,70,2011
16,12,360,2011
16,14,41,2011
16,15,218,2011
16,24,343,2011
16,34,339,2011
16,35,70,2011
16,38,311,2011
16,50,766,2011
16,52,1381,2011
16,53,4876,2011
16,55,282,2011
16,57,116,2011
16,65,567,2011
16,66,928,2011
16,69,1161,2011
16,71,199,2011
16,75,124,2011
16,76,780,2011
16,82,632,2011
16,97,2,2011
